Timestamp,Ticker,Signal,Price,RSI,Volume_Ratio
2026-07-28T17:19:39.008363+00:00,JPTC.L,WATCH,3958.0,57.11790393013101,0.591461026243635
2026-07-28T17:19:45.461575+00:00,UB74.L,WATCH,1836.0,60.55045871559633,1.7389558232931728
2026-07-28T17:19:48.603714+00:00,XD5E.L,WATCH,5902.5,59.42915392456677,0.09567881489063755
2026-07-28T17:19:51.064159+00:00,OMU.L,WATCH,60.79999923706055,56.36362816676337,3.492370661733563
2026-07-28T17:26:27.359272+00:00,0GRX.L,WATCH,85.06069946289062,65.9650074329005,0.17019610328818394
2026-07-28T17:26:27.613031+00:00,TP05.L,WATCH,367.1000061035156,55.482444399233316,1.2808924201456642
2026-07-28T17:26:28.903298+00:00,OMU.L,WATCH,60.79999923706055,56.36362816676337,3.492370661733563
2026-07-28T17:26:29.803191+00:00,SDR.L,WATCH,588.5,66.66666666666666,0.6031647976432495
2026-07-28T17:26:30.430861+00:00,OCDO.L,WATCH,188.5,58.53107689464159,0.5071580165656184
2026-07-28T17:26:35.458054+00:00,IQGX.L,WATCH,495.95001220703125,58.83578574437739,0.9319834138752611
